Seed_ID,Seed_Weight (mg),Seed_Size (mm),Seed_Color,Moisture_Content (%),Genetic_Marker_1,Genetic_Marker_2,Soil_pH,Temperature (°C),Humidity (%),Germination_Rate (%),Seed_Quality
S00001,3.43,2.76,Light,9.05,0,1,7.17,32,55,93,High
S00002,3.34,2.36,Light,7.95,1,1,6.01,32,77,100,High
S00003,3.18,2.75,Light,7,1,1,6.08,22,57,92,High
S00004,3.19,2.08,Light,8.25,1,1,7.18,32,62,66,Medium
S00005,2.82,1.56,Medium,7.7,1,1,6.98,22,62,78,Medium
S00006,2.47,1.75,Medium,8.26,0,1,7.26,24,70,81,Medium
S00007,3.43,1.84,Medium,8.1,0,1,7.07,24,56,97,High
S00008,3.16,2.78,Light,8.85,1,0,6.29,23,80,69,Medium
S00009,2.1,1.76,Dark,7.74,0,1,6.57,28,79,61,Low
S00010,3.23,2.18,Dark,8.92,1,1,6.19,21,75,60,Low
S00011,2.5,1.9,Dark,9.43,0,1,6.53,33,62,94,High
S00012,2.61,2.8,Light,8.98,0,1,7.16,28,56,97,High
S00013,2.06,1.63,Medium,8.14,0,0,6.34,22,63,97,High
S00014,2.35,2.8,Light,7.4,1,1,6.53,27,50,69,Medium
S00015,3,1.67,Medium,7.63,1,1,7.15,31,78,89,High
S00016,3.13,1.61,Dark,9.13,0,1,7.36,30,80,91,High
S00017,3,2.48,Medium,7.75,1,0,6.03,20,72,94,High
S00018,2.02,1.88,Medium,8.42,0,1,6.63,23,76,63,Low
S00019,3.05,2.23,Medium,7.13,1,0,7.41,27,74,65,Low
S00020,2.51,2.58,Dark,9.25,1,0,6.13,29,73,82,Medium
S00021,2.42,2.51,Light,9.04,1,1,6.44,27,78,89,High
S00022,2.74,1.6,Dark,7.24,0,1,7.03,24,66,65,Low
S00023,3.29,2.92,Light,7.96,1,1,6.44,22,62,67,Medium
S00024,2.4,1.5,Medium,7.95,1,0,6.88,23,59,87,High
S00025,3.18,1.57,Medium,7.95,1,1,7.08,30,70,77,Medium
S00026,2.97,1.5,Dark,9.83,1,0,6.38,31,71,76,Medium
S00027,3.43,2,Medium,7.74,0,0,6.12,33,58,81,Medium
S00028,2.24,2.65,Dark,8.5,1,1,7.06,22,73,82,Medium
S00029,2.6,2.58,Dark,9.75,0,1,6.23,33,62,89,High
S00030,3.13,1.55,Dark,7.86,0,0,6.06,21,72,97,High
S00031,2.49,2.36,Dark,7.24,0,0,7.42,35,77,83,Medium
S00032,2.63,2.38,Light,9.64,0,1,6.41,27,60,91,High
S00033,2.35,1.88,Dark,7.59,0,1,6.28,32,67,89,High
S00034,2.14,2.34,Light,7.78,1,0,6.96,33,54,59,Low
S00035,2.16,2.7,Light,7.79,1,0,6.66,31,69,78,Medium
S00036,2.84,2.71,Medium,8.98,1,0,7.02,23,78,72,Medium
S00037,2.34,2.87,Dark,9.53,1,1,6.07,25,63,64,Low
S00038,3.18,2.99,Medium,9.33,1,1,6.35,23,56,53,Low
S00039,2.5,2.21,Medium,8.23,1,1,7.04,26,69,62,Low
S00040,3.48,2.06,Light,7.68,1,1,6.61,31,52,93,High
S00041,2.66,2.76,Medium,9.72,1,0,7.28,25,71,96,High
S00042,2.19,2.42,Dark,7.49,1,0,6.24,24,71,67,Medium
S00043,2.83,1.78,Medium,7.75,1,1,6.65,35,59,53,Low
S00044,3.3,2.25,Medium,7.28,1,1,6.15,21,60,86,High
S00045,3.37,2.32,Dark,7.12,1,0,6.75,27,66,81,Medium
S00046,2.6,2.22,Dark,7.37,0,0,6.14,33,71,71,Medium
S00047,2.19,2.89,Medium,9.86,1,1,7.01,23,54,67,Medium
S00048,3.26,1.75,Medium,8.98,1,1,6.28,29,56,64,Low
S00049,2.12,2.79,Medium,9.45,0,0,7.32,32,61,73,Medium
S00050,2.81,2.72,Medium,8.83,0,0,7.16,32,58,64,Low
S00051,3.44,2.78,Medium,7.02,0,1,6.05,29,68,83,Medium
S00052,2.62,2.23,Medium,8.35,0,1,6.29,29,51,52,Low
S00053,2.42,2.24,Medium,9.04,1,0,7.43,28,68,90,High
S00054,3.08,1.78,Dark,7.91,0,0,6.5,29,68,91,High
S00055,2.67,3,Dark,8.43,0,0,7.07,32,69,92,High
S00056,2.39,2.78,Dark,8.77,1,1,6.3,21,80,56,Low
S00057,3.48,2.41,Medium,9.05,1,0,6.84,34,56,57,Low
S00058,2.01,2.56,Light,8.74,1,0,6,20,77,83,Medium
S00059,2.08,2.59,Medium,9.48,0,1,6.53,34,56,70,Medium
S00060,3.09,2.23,Medium,9.58,0,0,6.89,30,62,61,Low
S00061,2.59,1.5,Light,8.53,1,1,6.71,21,79,90,High
S00062,2.73,1.64,Light,8.65,0,1,6.02,29,56,50,Low
S00063,2.16,2.38,Medium,8.9,1,0,6.6,22,76,61,Low
S00064,3.4,2.91,Dark,8.6,1,1,6.02,28,68,66,Medium
S00065,2.44,2.9,Dark,7.39,0,0,6.2,28,54,55,Low
S00066,3.08,2.05,Light,7.23,1,0,6.55,34,75,60,Low
S00067,3.47,1.57,Dark,8.89,0,0,6.98,32,51,54,Low
S00068,2.32,2.51,Light,9.43,0,0,6.11,26,65,59,Low
S00069,2.74,1.61,Medium,7.51,0,1,7.32,31,73,88,High
S00070,2.79,2.65,Dark,8.59,1,0,7.02,28,75,63,Low
S00071,2.27,2.86,Light,8.61,1,1,7.43,22,50,99,High
S00072,3.11,2.77,Light,8.74,1,0,7.27,30,80,59,Low
S00073,2.95,2.03,Dark,8.29,0,0,6.96,22,65,66,Medium
S00074,2.82,2.37,Medium,8.83,0,1,6.28,34,63,94,High
S00075,2.45,2.29,Medium,9.9,1,1,7.13,24,71,80,Medium
S00076,3.31,3,Medium,8.47,1,1,6.71,29,51,51,Low
S00077,2.8,2.88,Dark,7.36,0,1,6.79,28,58,94,High
S00078,2.87,1.68,Light,7.92,1,1,7.34,21,60,87,High
S00079,2.38,2.96,Medium,8.79,0,0,6.79,26,54,98,High
S00080,2.51,1.6,Dark,8.08,1,1,7.44,28,57,89,High
S00081,2.06,1.58,Medium,7.06,0,0,7.31,25,78,80,Medium
S00082,3.32,1.74,Medium,7.16,0,1,6.96,30,65,64,Low
S00083,2.96,2.53,Medium,9.19,0,1,6.48,23,77,68,Medium
S00084,2.85,2.19,Light,7.32,0,1,6.59,32,62,65,Low
S00085,2.98,2.99,Dark,9.74,1,0,6.67,20,73,83,Medium
S00086,2.7,2.36,Dark,7.74,1,0,6.69,33,67,80,Medium
S00087,3.08,1.81,Medium,7.82,0,1,7.22,28,50,63,Low
S00088,2.41,2.66,Medium,7.44,1,0,6.43,26,65,71,Medium
S00089,2.91,1.7,Medium,9.88,0,0,7.24,20,68,100,High
S00090,3.47,2.41,Medium,9,1,1,6.18,26,80,77,Medium
S00091,2.46,1.79,Dark,7.31,1,0,6.47,33,65,88,High
S00092,3.12,2.12,Medium,8.71,0,1,6.51,24,68,59,Low
S00093,2.51,1.82,Dark,8.63,1,1,6.35,33,70,50,Low
S00094,3.3,2.18,Medium,9.04,1,1,6.33,21,61,51,Low
S00095,3.4,2.87,Light,7.44,1,0,7.05,33,79,95,High
S00096,2.97,1.69,Dark,7.02,1,1,7.3,30,68,56,Low
S00097,2.52,2.47,Dark,9.96,0,1,6.39,29,80,52,Low
S00098,2.04,2.13,Medium,9.07,0,1,7.03,31,55,70,Medium
S00099,3.47,2.25,Medium,8.03,0,0,6.01,21,65,87,High
S00100,3.33,2.57,Dark,8.94,1,0,7.14,31,51,76,Medium
S00101,2.36,2.99,Dark,8.06,1,0,6.52,25,80,53,Low
S00102,2.2,1.54,Dark,8.73,0,0,6.95,28,57,75,Medium
S00103,2.01,2.88,Medium,9.73,1,1,7.45,23,71,75,Medium
S00104,2.76,2.37,Medium,9.13,1,1,6.79,21,57,63,Low
S00105,2.01,1.57,Dark,8.9,1,1,7.46,24,71,50,Low
S00106,2.11,2.16,Dark,9.07,0,1,7.07,35,73,53,Low
S00107,2.51,2.93,Dark,9.58,1,1,6.02,31,53,57,Low
S00108,2.19,1.75,Dark,9.5,1,1,7.19,29,65,66,Medium
S00109,2.94,2.35,Dark,7.35,1,0,7.4,25,69,78,Medium
S00110,2.35,1.7,Light,9.86,1,0,6.65,32,71,78,Medium
S00111,2.73,1.7,Medium,7.11,1,0,6.89,21,66,89,High
S00112,2.3,2.92,Medium,9.46,1,1,6.17,34,56,86,High
S00113,2.42,2.23,Light,8.06,0,1,6.97,35,51,50,Low
S00114,2.59,1.73,Dark,7.12,0,0,6.89,23,51,94,High
S00115,3.03,2.57,Dark,7.71,0,0,7.04,28,60,66,Medium
S00116,2.27,2.2,Dark,7.94,0,1,7.36,26,73,89,High
S00117,2.32,1.84,Light,9.03,1,0,7.28,26,66,80,Medium
S00118,2.85,2.68,Dark,9.11,0,1,6.6,31,78,97,High
S00119,2.76,1.65,Light,7.88,1,0,6.01,26,53,69,Medium
S00120,3.02,1.82,Medium,7.22,1,1,6.53,27,62,84,Medium
S00121,2.96,2.91,Light,7.13,0,0,7.01,20,70,57,Low
S00122,2.98,1.98,Light,9.01,1,0,6.43,34,71,93,High
S00123,3.49,2.57,Dark,8.45,0,1,6.89,31,60,71,Medium
S00124,2.23,2.31,Medium,9.33,0,0,7.15,21,76,65,Low
S00125,2.68,1.85,Light,9.51,1,0,6.33,21,59,88,High
S00126,2.29,2.44,Medium,7.98,1,0,7.22,23,51,78,Medium
S00127,2.62,2.28,Dark,9.25,1,1,6.96,27,65,72,Medium
S00128,3.4,2,Dark,7.24,0,0,6.31,21,71,63,Low
S00129,3.14,2.23,Light,9.32,1,0,6.86,30,75,70,Medium
S00130,2.51,2.88,Light,8.16,1,0,6.8,23,59,93,High
S00131,3.03,1.65,Dark,9.09,0,0,6.09,24,67,62,Low
S00132,3.2,2.57,Light,9.87,1,0,6.89,31,51,82,Medium
S00133,2.38,2.61,Medium,8.45,1,0,6.39,32,55,73,Medium
S00134,2.41,1.52,Light,8.29,1,1,6.91,29,53,89,High
